"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1729758474","x1325889214563581952",2020-11-09 19:53:17,"kpjpsp","Apparently they're still using the rapid Abbott ID NOW COVID-19 test which frequently fails to detect the virus bc it's primarily for SYMPTOMATIC people. It was the test that was used at the infamous Barrett Rose Garden event. https://t.co/GGkxUeJB3b","Twitter Web App",140,,,,TRUE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/dCByHsIFgn","https://twitter.com/i/web/status/1325889214563581952",,,,,,,,,,,"en","x1325841931528704000","The White House said masks were not required because guests had all received COVID-19 tests. https://t.co/JWL837iRkA",2020-11-09 16:45:24,"Twitter for iPhone",5525,1111,"x170699708","weijia","Weijia Jiang",374912,4464,10937,"Washington, DC","@CBSNews White House Correspondent. Frankie Mei’s mama. Chinese born West Virginian. @williamandmary + @syracuseU alum. DM for Signal/WhatsApp",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kpjpsp/status/1325889214563581952","Kim Perales","California, USA","I’m fighting for democracy-exposing corruption & lies. I appreciate all cultures & religions & believe education, human rights & travel improve the world.🌊🌊🌊",,FALSE,2286,5001,10,203698,250636,2013-09-04 20:13:49,FALSE,,,,"https://pbs.twimg.com/profile_banners/1729758474/1494609193","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1107453575595065344/DmWCAP59_normal.jpg"
"x1306637002939473921","x1325887093919408129",2020-11-09 19:44:51,"TillyD69","@IngrahamAngle Trump chose to back a rapid test from Abbott that didn't detect until after 5 days of symptoms. The company also has a list of fines and violations almost as long as Trump's list of crimes. He probably benefited financially, but no one else did. Leave Covid to Biden and Science.","Twitter Web App",125,"x1325851190513557505","x50769180","IngrahamAngle",FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/uKONZnUDKg","https://twitter.com/i/web/status/1325887093919408129",,,,,,,,,"x50769180","IngrahamAngle","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TillyD69/status/1325887093919408129","TillyD69","Canada","🇨🇦🏳️‍🌈♥️Animals Mom of 2 humans & 2 pets Seeker of truth, common sense, peace and honesty... the reason I prefer the company of dogs over that of people.",,FALSE,572,653,1,3647,9056,2020-09-17 16:52:02,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1306637457446887425/qhcsyTaJ_normal.jpg"
"x1306637002939473921","x1315993089790668800",2020-10-13 12:29:37,"TillyD69","If the Abbott test is so Accurate How did The President and is wife get #coronavirus #Sonaconnect #Sonananotech #Sonaagainstcorona #sonavscorona #Halifax #HFXInnovation #NovaScotia #Canada #Healthcare #rapidtest
#Antigentesting #BreakingNews
#Quarentine #secondwave #covid-19 https://t.co/IEmPDMQ9Zv","Twitter Web App",,,,,TRUE,TRUE,0,0,0,0,"coronavirus Sonaconnect Sonananotech",,,,,,,,,,,,,"x1245406708857520128","lighthouseroute","en","x1315987961780072449","https://t.co/30g424d1U6 @sonananotech @CBCTheNational #Sonaconnect #Sonananotech #Sonaagainstcorona #sonavscorona #Halifax #HFXInnovation #NovaScotia #Canada #Healthcare
#Antigentesting #coronavirus #BreakingNews #November #Quarentine #secondwave #rapidtest #covid-19 #technology https://t.co/KOgHUiWhql",2020-10-13 12:09:14,"Twitter Web App",2,0,"x1245406708857520128","lighthouseroute","Lighthouseroute",4,19,34,,,FALSE,"x1315992641046286336","If the Abbott test is so Accurate How did The President and is wife get #coronavirus #Sonaconnect #Sonananotech #Sonaagainstcorona #sonavscorona #Halifax #HFXInnovation #NovaScotia #Canada #Healthcare #rapidtest
#Antigentesting #BreakingNews
#Quarentine #secondwave #covid-19 https://t.co/IEmPDMQ9Zv",2020-10-13 12:27:50,"Twitter Web App",2,1,"x1245406708857520128","lighthouseroute","Lighthouseroute",4,19,34,,,FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TillyD69/status/1315993089790668800","TillyD69","Canada","🇨🇦🏳️‍🌈♥️Animals Mom of 2 humans & 2 pets Seeker of truth, common sense, peace and honesty... the reason I prefer the company of dogs over that of people.",,FALSE,572,653,1,3647,9056,2020-09-17 16:52:02,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1306637457446887425/qhcsyTaJ_normal.jpg"
"x841407895707226118","x1325873529733206016",2020-11-09 18:50:57,"MissionPrimary","The clinic is now providing in-house testing for COVID-19 using Abbott ID NOW test kits. The ID NOW is a rapid molecular test able to provide results in 13 min. or less. If you would like to be tested or have questions, please contact our office at 601-636-1050. https://t.co/6y3eWAGwN6","Twitter Web App",140,,,,FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/2SF7zvwcFc","https://twitter.com/i/web/status/1325873529733206016",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MissionPrimary/status/1325873529733206016","Mission Primary Care","Vicksburg, MS","Quality Healthcare is our Mission.",,FALSE,23,54,0,100,7,2017-03-13 21:57:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/841407895707226118/1489443147","","http://pbs.twimg.com/profile_images/841411078751944704/WdF_3PHl_normal.jpg"
"x1306489103031046145","x1322938245198585858",2020-11-01 16:27:11,"timesnest","Impact of COVID-19 on Kidney/Renal Function Test Mar...
https://t.co/jIXcykN3Tz","FS Poster",,,,,FALSE,FALSE,0,0,0,0,,,"timesnest.com/impact-of-covi…","https://t.co/jIXcykN3Tz","https://timesnest.com/impact-of-covid-19-on-kidney-renal-function-test-market-latest-trending-report-is-booming-globally-by-top-leading-players-siemens-beckman-coulter-roche-abbott-etc/?feed_id=80838&_unique_id=5f9ee1df1720a",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/timesnest/status/1322938245198585858","Timesnest",,"Flash News!!",,FALSE,1,0,0,11234,0,2020-09-17 07:04:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1306489103031046145/1600669448","","http://pbs.twimg.com/profile_images/1307928755835301889/XLaXtE1Y_normal.jpg"
"x1306489103031046145","x1325870122230190080",2020-11-09 18:37:25,"timesnest","Impact of COVID-19 on Kidney/Renal Function Test Ma...
https://t.co/2Rj5ber5d3","FS Poster",,,,,FALSE,FALSE,0,0,0,0,,,"timesnest.com/impact-of-covi…","https://t.co/2Rj5ber5d3","https://timesnest.com/impact-of-covid-19-on-kidney-renal-function-test-market-latest-trending-report-is-booming-globally-by-top-leading-players-siemens-beckman-coulter-roche-abbott-etc/?feed_id=123222&_unique_id=5fa98c65083e0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/timesnest/status/1325870122230190080","Timesnest",,"Flash News!!",,FALSE,1,0,0,11234,0,2020-09-17 07:04:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1306489103031046145/1600669448","","http://pbs.twimg.com/profile_images/1307928755835301889/XLaXtE1Y_normal.jpg"
"x40000004","x1325861394554769415",2020-11-09 18:02:44,"Georgia_Bio","A study out of Spain found that an #antigen test made by Abbott is capable of detecting #COVID-19 infection in asymptomatic people. @AbbottNews https://t.co/6eLl9MZPYg https://t.co/vl6uI0SaDW","Hootsuite Inc.",140,,,,FALSE,FALSE,0,0,0,0,"antigen COVID",,"twitter.com/i/web/status/1…","https://t.co/1hm18La5st","https://twitter.com/i/web/status/1325861394554769415",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Georgia_Bio/status/1325861394554769415","Georgia Bio","Atlanta","Georgia Bio is the private, non-profit association that promotes the life sciences industry and university research in Georgia.","http://www.gabio.org",FALSE,1798,307,116,12905,656,2009-05-14 14:08:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/40000004/1405947948","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1429494178/GaBioPBA_normal.jpg"
"x40000004","x1316076508897783815",2020-10-13 18:01:05,"Georgia_Bio","Abbott gets emergency authorization for new #COVID antibody test
https://t.co/fuHGDFHiC2 https://t.co/wZchZFQV32","Hootsuite Inc.",88,,,,FALSE,FALSE,0,0,0,0,"COVID",,"ow.ly/DBQ050BReZL","https://t.co/fuHGDFHiC2","http://ow.ly/DBQ050BReZL","http://pbs.twimg.com/media/EkOknEEXkAAQbtL.png","https://t.co/wZchZFQV32","https://twitter.com/Georgia_Bio/status/1316076508897783815/photo/1","photo","http://pbs.twimg.com/media/EkOknEEXkAAQbtL.png","https://t.co/wZchZFQV32","https://twitter.com/Georgia_Bio/status/1316076508897783815/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Georgia_Bio/status/1316076508897783815","Georgia Bio","Atlanta","Georgia Bio is the private, non-profit association that promotes the life sciences industry and university research in Georgia.","http://www.gabio.org",FALSE,1798,307,116,12905,656,2009-05-14 14:08:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/40000004/1405947948","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1429494178/GaBioPBA_normal.jpg"
"x31348171","x1325820300408344576",2020-11-09 15:19:26,"gsurgeon","@krbthedoc @jmartNYT @maggieNYT @pfizer I knew the discussion was in build. This is just more conclusive. They just played it wrong.

Just like the large government purchase from Abbott of the 15 minute COVID test in August. It didn't make to the streets.","Twitter Web App",100,"x1325817753958113280","x1225942742905176064","krbthedoc",FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/Ps6VqDzMiW","https://twitter.com/i/web/status/1325820300408344576",,,,,,,,,"x1225942742905176064 x18678924 x93069110 x56488059","krbthedoc jmartNYT maggieNYT pfizer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gsurgeon/status/1325820300408344576","G Surgeon 📚","United States","Positive Living is the only option. 
Entrepreneur * Life Survivor * Poet *Author
Love • Live • Laugh   
https://blackwomenauthors.com/author-gina-s-surgeon.html","http://www.positiveface.org",FALSE,945,2259,5,11488,78575,2009-04-15 05:20:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/31348171/1568150735","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1029118939605827584/UFXjwnAg_normal.jpg"
"x1234493743769751554","x1325787008313200640",2020-11-09 13:07:09,"BDDataplan","@lotterik2 @benhetechtzelf @SDicht @anatwitje Veel commerciële teststraten bieden o.a. een ""antigeen"" sneltest aan. Vaak betreft het goedgekeurde tests van de merken BD en Abbott.
Deze test is minder gevoelig dan de PCR-test van de GGD. Dus een positieve antigeentest lijkt mij al positief genoeg...https://t.co/NHSDeD4ro3","Twitter Web App",94,"x1325717762942054400","x1123573119778729984","lotterik2",FALSE,FALSE,3,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/wY1p5qLYTb","https://twitter.com/i/web/status/1325787008313200640",,,,,,,,,"x1123573119778729984 x106702609 x1259233197423984641 x378118067","lotterik2 benhetechtzelf SDicht anatwitje","nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BDDataplan/status/1325787008313200640","BD Dataplan - Bart Bolkestein",,"Corona Locator Nederland: http://bddataplan.nl/corona
Online databases naar wens, COVID-rapportage op maat.
Low code / No code.","http://www.bddataplan.nl",FALSE,3421,159,62,1778,3549,2020-03-02 15:01:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1234493743769751554/1583163677","","http://pbs.twimg.com/profile_images/1281586523763335169/EeQwaew__normal.jpg"
